时间,容量
20200409:11:10,32.61
20200409:11:20,32.62
20200409:11:30,32.63
20200409:11:40,32.81
20200409:11:50,32.63
20200409:12:00,32.63
20200409:12:10,32.63
20200409:12:20,32.63
20200409:12:30,32.63
20200409:12:40,32.63
20200409:12:50,32.63
20200409:13:00,32.63
20200409:13:10,32.81
20200409:13:20,32.64
20200409:13:30,32.64
20200409:13:40,32.65
20200409:13:50,32.65
20200409:14:00,32.66
20200409:14:10,32.66
20200409:14:20,32.67
20200409:14:30,32.67
20200409:14:40,32.67
20200409:14:50,32.68
20200409:15:00,32.7
20200409:15:10,32.74
20200409:15:20,32.81
20200409:15:30,32.74
20200409:15:40,32.74
20200409:15:50,32.74
20200409:16:00,32.74
20200409:16:10,32.76
20200409:16:20,32.77
20200409:16:30,32.78
20200409:16:40,33.06
20200409:16:50,33.07
20200409:17:00,33.07
20200409:17:10,33.07
20200409:17:20,33.07
20200409:17:30,33.07
20200409:17:40,33.07
20200409:17:50,33.07
20200409:18:00,33.07
20200409:18:10,33.07
20200409:18:20,33.07
20200409:18:30,33.07
20200409:18:40,33.07
20200409:18:50,33.07
20200409:19:00,33.07
20200409:19:10,33.07
20200409:19:20,33.07
20200409:19:30,33.07
20200409:19:40,33.07
20200409:19:50,33.07
20200409:20:00,33.07
20200409:20:10,33.07
20200409:20:20,33.07
20200409:20:30,33.07
20200409:20:40,33.07
20200409:20:50,33.07
20200409:21:00,33.07
20200409:21:10,33.07
20200409:21:20,33.07
20200409:21:30,33.07
20200409:21:40,33.07
20200409:21:50,33.07
20200409:22:00,32.81
20200409:22:10,33.07
20200409:22:20,33.07
20200409:22:30,33.07
20200409:22:40,33.07
20200409:22:50,33.07
20200409:23:00,33.07
20200409:23:10,33.07
20200409:23:20,33.07
20200409:23:30,33.07
20200409:23:40,33.07
20200409:23:50,33.07
20200410:00:00,33.07
20200410:00:10,33.05
20200410:00:20,33.04
20200410:00:30,33.05
20200410:00:40,33.05
20200410:00:50,33.05
20200410:01:00,33.05
20200410:01:10,33.05
20200410:01:20,33.05
20200410:01:30,33.05
20200410:01:40,33.05
20200410:01:50,33.05
20200410:02:00,33.05
20200410:02:10,33.05
20200410:02:20,33.05
20200410:02:30,33.05
20200410:02:40,33.05
20200410:02:50,33.05
20200410:03:00,33.05
20200410:03:10,33.05
20200410:03:20,33.05
20200410:03:30,33.05
20200410:03:40,33.05
20200410:03:50,33.05
20200410:04:00,33.05
20200410:04:10,33.05
20200410:04:20,33.04
20200410:04:30,33.05
20200410:04:40,33.05
20200410:04:50,33.04
20200410:05:00,33.05
20200410:05:10,33.05
20200410:05:20,33.05
20200410:05:30,33.05
20200410:05:40,33.05
20200410:05:50,33.05
20200410:06:00,33.05
20200410:06:10,33.05
20200410:06:20,33.05
20200410:06:30,33.05
20200410:06:40,33.05
20200410:06:50,33.05
20200410:07:00,33.05
20200410:07:10,33.05
20200410:07:20,33.05
20200410:07:30,33.05
20200410:07:40,33.05
20200410:07:50,33.04
20200410:08:00,33.05
20200410:08:10,33.05
20200410:08:20,33.05
