时间,容量
2020-01-10:04,509187461.3102856
2020-01-10:06,509695864.8971956
2020-01-10:08,510101852.5574221
2020-01-10:10,510722772.6161426
2020-01-10:12,510985223.4277123
2020-01-10:14,511264635.05360353
2020-01-10:16,511349505.45238477
2020-01-10:18,511376667.64887273
2020-01-10:20,511397567.73307085
2020-01-10:22,511416023.5615057
2020-01-11:00,511481772.12582576
2020-01-11:02,511692796.2199684
2020-01-11:04,511787376.19487697
2020-01-11:06,511926273.0338182
2020-01-11:08,512099778.0820753
2020-01-11:10,512152320.54152244
2020-01-11:12,512187761.0095911
2020-01-11:14,512220171.2331632
2020-01-11:16,512248503.83408034
2020-01-11:18,512272597.707259
2020-01-11:20,512295769.7245675
2020-01-11:22,512320320.4137461
2020-01-12:00,512358726.27790654
2020-01-12:02,512551614.78996307
2020-01-12:04,512681942.874083
2020-01-12:06,512776757.1911818
2020-01-12:08,512857809.95281726
2020-01-12:10,513012321.24433976
2020-01-12:12,513050831.0252488
2020-01-12:14,513086893.1348926
2020-01-12:16,513115629.76380986
2020-01-12:18,513139905.9817088
2020-01-12:20,513163219.92030936
2020-01-12:22,513287645.1254556
2020-01-13:00,514036429.72841203
2020-01-13:02,515220592.72754186
2020-01-13:04,515825923.06495
2020-01-13:06,516350822.04772013
2020-01-13:08,517082128.19343567
2020-01-13:10,517255231.16901183
2020-01-13:12,517411216.558189
2020-01-13:14,517518860.9232442
2020-01-13:16,517585862.96588033
2020-01-13:18,517613107.2609277
2020-01-13:20,517638434.58673984
2020-01-13:22,517772541.52058065
2020-01-14:00,518846353.0052411
2020-01-14:02,519771791.7111896
2020-01-14:04,520092677.19115585
2020-01-14:06,520520983.2090145
2020-01-14:08,520841363.8108097
2020-01-14:10,521396950.1186453
2020-01-14:12,521585968.9123823
2020-01-14:14,521675761.93881017
2020-01-14:16,521732482.67341435
2020-01-14:18,521750751.36041623
2020-01-14:20,521767507.7333072
2020-01-14:22,521882801.09282464
2020-01-15:00,523002236.4411545
2020-01-15:02,523897246.20450735
2020-01-15:04,524250861.3618448
2020-01-15:06,524736187.8081628
2020-01-15:08,525004609.1333074
2020-01-15:10,525162884.8073767
2020-01-15:12,525302112.14015996
2020-01-15:14,525405828.80436337
2020-01-15:16,525470193.1283285
2020-01-15:18,525497221.00558174
2020-01-15:20,525522430.183412
2020-01-15:22,525648968.771861
2020-01-16:00,526775688.4015591
2020-01-16:02,527939168.3162083
2020-01-16:04,528395834.47403085
2020-01-16:06,528834616.2643215
2020-01-16:08,529268211.74064463
2020-01-16:10,529440004.35864747
2020-01-16:12,529580591.60906696
2020-01-16:14,529680702.99914855
2020-01-16:16,529744555.6093947
2020-01-16:18,529771821.29102486
2020-01-16:20,529797096.21582824
2020-01-16:22,529928928.9229181
2020-01-17:00,531016805.5814466
2020-01-17:02,532177882.485312
2020-01-17:04,532732986.41189736
2020-01-17:06,533382142.64431345
2020-01-17:08,533770829.56286687
2020-01-17:10,534399235.3082289
2020-01-17:12,534468286.2319968
2020-01-17:14,534564760.7228903
2020-01-17:16,534629462.18883663
2020-01-17:18,534657881.22441083
2020-01-17:20,534683640.95366883
2020-01-17:22,534711323.94709724
2020-01-18:00,534775082.9025415
2020-01-18:02,535000260.0394126
2020-01-18:04,535105590.91669285
2020-01-18:06,535209979.5320756
2020-01-18:08,535247341.1584379
2020-01-18:10,535285575.22785634
2020-01-18:12,535461657.97401744
2020-01-18:14,535501310.86270946
2020-01-18:16,535530100.68473536
2020-01-18:18,535552818.5415357
2020-01-18:20,535574346.5587394
2020-01-18:22,535597584.32235724
2020-01-19:00,535627178.0897275
2020-01-19:02,535748927.589767
2020-01-19:04,535888072.81578887
2020-01-19:06,535978324.74019945
2020-01-19:08,536046461.14242667
2020-01-19:10,536168069.5941826
2020-01-19:12,536311486.536609
2020-01-19:14,536364958.99091995
2020-01-19:16,536397318.73464346
