时间,容量
2020-01-08:00,71719414.13666143
2020-01-08:02,72053896.60795337
2020-01-08:04,72202886.40718031
2020-01-08:06,72428849.37082024
2020-01-08:08,72574029.65693134
2020-01-08:10,72636314.23384434
2020-01-08:12,72690259.28221962
2020-01-08:14,72735236.48680556
2020-01-08:16,72770195.76915619
2020-01-08:18,72794591.07210432
2020-01-08:20,72818264.67897013
2020-01-08:22,72877913.26282571
2020-01-09:00,73197742.90807128
2020-01-09:02,73449385.89800838
2020-01-09:04,73585834.42205188
2020-01-09:06,73766759.15693134
2020-01-09:08,73904993.3759172
2020-01-09:10,74064718.4964885
2020-01-09:12,74188338.51084906
2020-01-09:14,74242347.2806997
2020-01-09:16,74276867.65112685
2020-01-09:18,74300463.50327568
2020-01-09:20,74323269.96675839
2020-01-09:22,74384963.85988553
2020-01-10:00,74701540.24654087
2020-01-10:02,74946623.3096436
2020-01-10:04,75112258.03715934
2020-01-10:06,75288421.30284329
2020-01-10:08,75413520.36023268
2020-01-10:10,75562356.91311581
2020-01-10:12,75616293.74664569
2020-01-10:14,75672386.08981921
2020-01-10:16,75704953.47120021
2020-01-10:18,75728170.82007338
2020-01-10:20,75750667.26585427
2020-01-10:22,75774029.96378732
2020-01-11:00,75809619.17325734
2020-01-11:02,75876268.78114517
2020-01-11:04,75917161.12012577
2020-01-11:06,75971576.30476941
2020-01-11:08,76028185.50300053
2020-01-11:10,76057563.7840671
2020-01-11:12,76083918.58963576
2020-01-11:14,76109998.73084381
2020-01-11:16,76134024.29952832
2020-01-11:18,76156023.34502096
2020-01-11:20,76177702.35356393
2020-01-11:22,76200102.70306084
2020-01-12:00,76226696.71805553
2020-01-12:02,76287422.5966195
2020-01-12:04,76333024.50480871
2020-01-12:06,76371193.70547692
2020-01-12:08,76407455.58501048
2020-01-12:10,76458325.01269655
2020-01-12:12,76485409.54466718
2020-01-12:14,76512134.69284594
2020-01-12:16,76536639.5532757
2020-01-12:18,76558768.93995021
2020-01-12:20,76580405.89254457
